,Ammonia,Chlorophyll a,pH
1,14.9667405764967,0.02364,8.52
2,0.554323725055432,0.02415,8.34
3,1.10864745011086,0.00962,8.35
4,0.554323725055432,0.00318,8.29
5,0.554323725055432,0.00297,8.28
6,0.554323725055432,0.00357,8.35
7,0.831485587583149,0.00886,8.29
8,0.831485587583149,0.01436,8.31
9,0.554323725055432,0.02079,8.26
10,0.831485587583149,0.00245,8.45
11,0.554323725055432,0.00359,8.32
12,0.554323725055432,0.00223,8.5
13,0.554323725055432,0.00367,8.34
14,1.10864745011086,0.00058,8.32
15,1.6629711751663,0.00173,8.39
16,1.10864745011086,0.00034,8.33
17,1.38580931263858,0.00043,8.45
18,1.6629711751663,0.00086,8.47
19,1.38580931263858,0.00211,8.47
20,1.6629711751663,0.00043,8.48
21,1.6629711751663,0.00172,8.45
22,1.6629711751663,0.00066,8.43
23,1.38580931263858,0.00364,8.46
24,4.15742793791574,0.00075,8.39
25,0.831485587583149,0.001,8.42
26,0.831485587583149,0.00074,8.36
27,0.554323725055432,0.00067,8.35
28,0.554323725055432,0.00682,8.29
29,0.554323725055432,0.01006,8.29
30,0.554323725055432,0.00503,8.29
31,0.831485587583149,0.00418,8.22
32,0.831485587583149,0.00362,8.25
33,0.554323725055432,0.00713,8.31
34,0.831485587583149,0.00357,8.29
35,0.831485587583149,0.00593,8.34
36,0.554323725055432,0.01272,8.33
37,0.554323725055432,0.00479,8.34
38,0.554323725055432,0.00459,8.3
39,0.831485587583149,0.00849,8.38
40,0.554323725055432,0.00712,8.41
41,0.554323725055432,0.00553,8.44
42,0.554323725055432,0.00348,8.36
43,0.831485587583149,0.00563,8.36
44,0.831485587583149,0.00306,8.4
45,-0.277161862527716,0.00287,8.43
46,0.554323725055432,0.00296,8.39
47,-0.277161862527716,0.00394,8.47
48,0.277161862527716,0.003,8.35
49,-0.277161862527716,0.00161,8.33
50,-0.277161862527716,0.00185,8.48
51,0.277161862527716,0.0033,8.33
52,0.554323725055432,0.00192,8.42
53,0.554323725055432,0.00299,8.45
54,1.10864745011086,0.00379,8.43
55,1.10864745011086,0.0044,8.44
56,0.554323725055432,0.00347,8.35
57,1.10864745011086,0.00776,8.39
58,0.831485587583149,0.00793,8.38
59,0.554323725055432,0.00889,8.31
60,0.554323725055432,0.01019,8.32
61,0.831485587583149,0.00829,8.26
62,0.554323725055432,0.00433,8.29
63,0.831485587583149,0.00537,8.01
64,0.554323725055432,0.00756,8.06
65,0.831485587583149,0.0043,8.23
66,0.554323725055432,0.0205,8.23
67,0.554323725055432,0.00696,8.05
68,0.831485587583149,0.00412,8.27
69,0.554323725055432,0.00246,8.37
70,0.554323725055432,0.00357,8.42
71,0.831485587583149,0.00747,8.4
72,0.831485587583149,0.00275,8.37
73,0.831485587583149,0.00274,8.49
74,0.831485587583149,0.00703,8.5
75,0.831485587583149,0.01462,8.44
76,0.831485587583149,0.0027,8.4
77,0.831485587583149,0.00163,8.36
78,0.831485587583149,0.00656,8.16
79,2.21729490022173,0.00237,8.56
80,1.6629711751663,0.00283,8.47
81,0.831485587583149,0.01192,8.16
82,0.831485587583149,0.00197,8.37
83,1.10864745011086,0.00151,8.38
