id,year_start,chla,o2,ph,wtemp
estuary_adourgaronne_5026000,1980,NA,8.84269299820467,NA,15.8023131672598
estuary_chesapeakebay_cb1.0,1986,5.01944935064935,10.0514851485149,NA,15.1313580246914
estuary_chesapeakebay_cb1.1,1984,7.63435701492537,9.55608465608466,8.15,17.7289473684211
estuary_chesapeakebay_cb2.1,1984,7.91092660869565,9.51430213464696,7.91212121212121,17.0362745098039
estuary_chesapeakebay_cb2.2,1984,5.37534036764706,9.0217667238422,NA,16.8365187713311
estuary_chesapeakebay_cb3.1,1984,8.15086003663004,8.7520618556701,7.73270440251572,16.6037606837607
estuary_chesapeakebay_cb3.2,1984,9.78791702508961,9.05594594594595,7.95536723163842,16.4285714285714
estuary_chesapeakebay_cb3.3c,1984,14.4366034545455,10.0831496062992,8.17970297029703,16.8336477987421
estuary_chesapeakebay_cb3.3e,1984,15.4338408466819,9.52956803455723,8.19536082474227,19.8243010752688
estuary_chesapeakebay_cb3.3w,1984,18.4847413004484,9.50796976241901,8.29239766081871,19.8666666666667
estuary_chesapeakebay_cb4.1c,1984,11.7413021565217,9.54828046744574,8.16011904761905,16.9301164725458
estuary_chesapeakebay_cb4.1e,1984,11.5145242298851,8.93045951859956,8.2625,19.7984749455338
estuary_chesapeakebay_cb4.1w,1984,16.8235132093023,9.67269736842105,8.21930693069307,20.011135371179
estuary_chesapeakebay_cb4.2c,1984,9.95627651567944,9.61622704507512,8.19550561797753,16.8910149750416
estuary_chesapeakebay_cb4.2e,1984,9.63408574074074,9.08890350877193,NA,19.7578602620087
estuary_chesapeakebay_cb4.2w,1984,14.7138377367206,8.99958515283843,8.15573770491803,19.5821739130435
estuary_chesapeakebay_cb4.3c,1984,9.06455616580311,9.48528239202658,8.20782122905028,16.7475165562914
estuary_chesapeakebay_cb4.3e,1984,8.96090453089245,8.84060737527115,8.19324324324324,19.4799136069114
estuary_chesapeakebay_cb4.3w,1984,14.0976565366972,8.93531590413943,NA,19.6056399132321
estuary_chesapeakebay_cb4.4,1984,10.5548235826087,9.84179104477612,8.25595238095238,17.3425496688742
estuary_chesapeakebay_cb5.1,1984,9.24319693706294,9.54374666666667,8.31675126903553,17.1599201065246
estuary_chesapeakebay_cb5.1w,1985,9.91645017182131,9.27582781456954,NA,16.4520593080725
estuary_chesapeakebay_cb5.2,1984,8.77999178947368,9.42011666666667,NA,17.3858333333333
estuary_chesapeakebay_cb5.3,1984,8.42817632270169,9.21008849557522,NA,17.3098939929329
estuary_chesapeakebay_cb5.4,1984,8.57988971602434,9.51024190751445,8.2947577092511,17.8292911877395
estuary_chesapeakebay_cb5.4w,1984,9.17350321721312,9.32948025490196,8.29179203539823,18.6696920077973
estuary_chesapeakebay_cb5.5,1984,8.03173989919355,9.56409096590909,8.29986301369863,17.8818185255198
estuary_chesapeakebay_cb6.1,1984,8.36372070175439,9.67986346863469,8.31012305084746,18.0413959484346
estuary_chesapeakebay_cb6.2,1984,7.99872266798419,9.55674205607477,8.30789077212806,18.0254192949907
estuary_chesapeakebay_cb6.3,1984,8.24360147058824,9.31350279329609,8.25690875232775,17.991237037037
estuary_chesapeakebay_cb6.4,1984,7.61314908396947,9.31853554744526,8.15528421052632,17.8861818181818
estuary_chesapeakebay_cb7.1,1984,8.15065163967611,9.31258640776699,8.24032894736842,18.0737857142857
estuary_chesapeakebay_cb7.1n,1984,8.98831833675565,8.98376058708415,8.17107416879795,17.6936809338521
estuary_chesapeakebay_cb7.1s,1984,7.29038892712551,9.49863178294574,8.28033009708738,18.1122480769231
estuary_chesapeakebay_cb7.2,1984,7.19810216269841,9.46219128787879,8.27967680608365,18.0463345935728
